----------------------------
2020-11-20 11:41:30.963184
Resolution: 800 x 450
FPS: 60
Codec: huj
----------------------------
[11-53-24-296083]  151: fist - if nr 2 passed
[11-53-25-546710]  152: okay - if nr 1 passed
[11-53-25-546710]  153: okay - if nr 2 passed
[11-53-25-546710]  154: okay - if nr 3 passed
[11-53-25-546710]  155: okay - if nr 4 passed
[11-53-25-546710]  156: okay - if nr 5 passed
[11-53-25-546710]  157: okay - if nr 6 passed
[11-53-25-546710]  158: Okay
[11-53-25-562330]  159: fist - if nr 1 passed
[11-53-25-562330]  160: fist - if nr 2 passed
[11-53-34-189511]  161: empty - if nr 1 passed
[11-53-34-189511]  162: empty - if nr 2 passed
[11-53-34-189511]  163: empty - if nr 3 passed
[11-53-34-189511]  164: empty - if nr 4 passed
[11-53-36-735084]  165: empty - if nr 1 passed
[11-53-36-735084]  166: empty - if nr 2 passed
[11-53-36-735084]  167: empty - if nr 3 passed
[11-53-36-735084]  168: empty - if nr 4 passed
[11-53-40-493842]  169: empty - if nr 1 passed
[11-53-40-493842]  170: empty - if nr 2 passed
[11-53-40-493842]  171: empty - if nr 3 passed
[11-53-40-493842]  172: empty - if nr 4 passed
[11-53-40-493842]  173: empty = if nr 5 passed
[11-53-40-493842]  174: Empty
[11-53-40-493842]  175: fist - if nr 1 passed
[11-53-40-493842]  176: fist - if nr 2 passed
[11-53-40-493842]  177: fist - if nr 3 passed
[11-53-40-493842]  178: fist - if nr 4 passed
[11-53-55-270776]  179: fist - if nr 1 passed
[11-53-55-270776]  180: fist - if nr 2 passed
[11-53-55-270776]  181: fist - if nr 3 passed
[11-53-55-270776]  182: fist - if nr 4 passed
[11-53-56-512539]  183: fist - if nr 1 passed
[11-53-56-512539]  184: fist - if nr 2 passed
[11-53-56-512539]  185: fist - if nr 3 passed
[11-53-56-512539]  186: fist - if nr 4 passed
[11-53-57-747495]  187: fist - if nr 1 passed
[11-53-57-747495]  188: fist - if nr 2 passed
[11-53-57-747495]  189: fist - if nr 3 passed
[11-53-57-747495]  190: fist - if nr 4 passed
[11-53-59-20305]  191: fist - if nr 1 passed
[11-53-59-20305]  192: fist - if nr 2 passed
[11-53-59-20305]  193: fist - if nr 3 passed
[11-53-59-20305]  194: fist - if nr 4 passed
[11-54-2-346043]  195: swipe right - if nr 1 passed
[11-54-2-346043]  196: swipe right - if nr 2 passed
[11-54-2-346043]  197: swipe right - if nr 3 passed
[11-54-2-346043]  198: halt - if nr 1 passed
